co_municipio,no_municipio,sg_uf,categoria,no_regiao_turistica
2504850,Coxixola,PB,Município de apoio ao turismo,Cariri
2504900,Cruz do Espírito Santo,PB,Município de apoio ao turismo,
2505105,Cuité,PB,Município com oferta turística complementar,Curimataú
2505238,Cuité de Mamanguape,PB,Município de apoio ao turismo,
2505279,Curral de Cima,PB,Município de apoio ao turismo,
2505402,Desterro,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2505709,Dona Inês,PB,Município com oferta turística complementar,Brejo
2505808,Duas Estradas,PB,Município com oferta turística complementar,Brejo
2505907,Emas,PB,Município de apoio ao turismo,
2506202,Frei Martinho,PB,Município com oferta turística complementar,
2506301,Guarabira,PB,Município turístico,Brejo
2506400,Gurinhém,PB,Município de apoio ao turismo,
2506608,Ibiara,PB,Município de apoio ao turismo,
2506707,Imaculada,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2506905,Itabaiana,PB,Município com oferta turística complementar,Vale do Paraíba
2507002,Itaporanga,PB,Município de apoio ao turismo,
2507101,Itapororoca,PB,Município de apoio ao turismo,Vale do Mamanguape
2507200,Itatuba,PB,Município de apoio ao turismo,Vale do Paraíba
2507309,Jacaraú,PB,Município de apoio ao turismo,Vale do Mamanguape
2507408,Jericó,PB,Município de apoio ao turismo,Vale dos Sertões
2507507,João Pessoa,PB,Município turístico,Rota Sanhauá
2513653,Joca Claudino,PB,Município com oferta turística complementar,Vale dos Dinossauros
2507606,Juarez Távora,PB,Município de apoio ao turismo,Brejo
2507804,Junco do Seridó,PB,Município de apoio ao turismo,Vale dos Sertões
2507903,Juripiranga,PB,Município de apoio ao turismo,Vale do Paraíba
2508208,Lagoa de Dentro,PB,Município de apoio ao turismo,Brejo
2508307,Lagoa Seca,PB,Município com oferta turística complementar,Serra da Borborema
2508406,Lastro,PB,Município de apoio ao turismo,
2508505,Livramento,PB,Município de apoio ao turismo,Cariri
2508604,Lucena,PB,Município de apoio ao turismo,Rota Sanhauá
2508703,Mãe d'Água,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2508802,Malta,PB,Município de apoio ao turismo,Vale dos Sertões
2508901,Mamanguape,PB,Município com oferta turística complementar,Vale do Mamanguape
2509008,Manaíra,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2509057,Marcação,PB,Município de apoio ao turismo,
2509107,Mari,PB,Município de apoio ao turismo,Brejo
2509305,Mataraca,PB,Município com oferta turística complementar,Trilhas dos Potiguara
2509339,Matinhas,PB,Município com oferta turística complementar,Brejo
2509396,Maturéia,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2509404,Mogeiro,PB,Município de apoio ao turismo,Vale do Paraíba
2509602,Monte Horebe,PB,Município com oferta turística complementar,Vale dos Dinossauros
2509701,Monteiro,PB,Município com oferta turística complementar,Cariri
2509800,Mulungu,PB,Município de apoio ao turismo,Brejo
2510006,Nazarezinho,PB,Município de apoio ao turismo,Vale dos Dinossauros
2510105,Nova Floresta,PB,Município de apoio ao turismo,
2510204,Nova Olinda,PB,Município de apoio ao turismo,
2510402,Olho d'Água,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2510600,Ouro Velho,PB,Município de apoio ao turismo,Cariri
2510659,Parari,PB,Município de apoio ao turismo,Cariri
2510709,Passagem,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2510808,Patos,PB,Município com oferta turística complementar,Vale dos Sertões
2510907,Paulista,PB,Município de apoio ao turismo,Vale dos Sertões
2511004,Pedra Branca,PB,Município de apoio ao turismo,
2511103,Pedra Lavrada,PB,Município de apoio ao turismo,
2511202,Pedras de Fogo,PB,Município com oferta turística complementar,Vale do Paraíba
2512721,Pedro Régis,PB,Município de apoio ao turismo,
2511301,Piancó,PB,Município de apoio ao turismo,
2511400,Picuí,PB,Município de apoio ao turismo,Fórum Regional de Turismo Sustentável do Seridó
2511608,Pilões,PB,Município de apoio ao turismo,Brejo
2511707,Pilõezinhos,PB,Município de apoio ao turismo,Brejo
2511806,Pirpirituba,PB,Município com oferta turística complementar,Brejo
2511905,Pitimbu,PB,Município com oferta turística complementar,Costa das Falésias
2512002,Pocinhos,PB,Município de apoio ao turismo,Serra da Borborema
2512036,Poço Dantas,PB,Município de apoio ao turismo,
2512077,Poço de José de Moura,PB,Município com oferta turística complementar,Vale dos Dinossauros
2512200,Prata,PB,Município com oferta turística complementar,Cariri
2512309,Princesa Isabel,PB,Município com oferta turística complementar,SERRA DO TEXEIRA
2512408,Puxinanã,PB,Município de apoio ao turismo,Serra da Borborema
2512507,Queimadas,PB,Município com oferta turística complementar,
2512606,Quixabá,PB,Município com oferta turística complementar,Vale dos Sertões
2512705,Remígio,PB,Município com oferta turística complementar,Brejo
2512754,Riachão do Bacamarte,PB,Município com oferta turística complementar,
2512788,Riacho de Santo Antônio,PB,Município de apoio ao turismo,Cariri
2512804,Riacho dos Cavalos,PB,Município de apoio ao turismo,
2512903,Rio Tinto,PB,Município de apoio ao turismo,
2513000,Salgadinho,PB,Município com oferta turística complementar,
2513109,Salgado de São Félix,PB,Município de apoio ao turismo,Vale do Paraíba
2513158,Santa Cecília,PB,Município de apoio ao turismo,Cariri
2513356,Santa Inês,PB,Município de apoio ao turismo,
2513406,Santa Luzia,PB,Município de apoio ao turismo,Vale dos Sertões
2513604,Santana dos Garrotes,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2513802,Santa Teresinha,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2513851,Santo André,PB,Município de apoio ao turismo,Cariri
2513901,São Bento,PB,Município de apoio ao turismo,Vale dos Sertões
2513943,São Domingos do Cariri,PB,Município de apoio ao turismo,Cariri
2513984,São Francisco,PB,Município de apoio ao turismo,
2514008,São João do Cariri,PB,Município de apoio ao turismo,Cariri
2514107,São João do Tigre,PB,Município de apoio ao turismo,Cariri
2514206,São José da Lagoa Tapada,PB,Município de apoio ao turismo,Vale dos Dinossauros
2514305,São José de Caiana,PB,Município de apoio ao turismo,
2514404,São José de Espinharas,PB,Município de apoio ao turismo,Vale dos Sertões
2514503,São José de Piranhas,PB,Município de apoio ao turismo,Vale dos Dinossauros
2514552,São José de Princesa,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2514602,São José do Bonfim,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2514651,São José do Brejo do Cruz,PB,Município de apoio ao turismo,Vale dos Sertões
2514701,São José do Sabugi,PB,Município de apoio ao turismo,Vale dos Sertões
2514800,São José dos Cordeiros,PB,Município de apoio ao turismo,Cariri
2514453,São José dos Ramos,PB,Município de apoio ao turismo,Vale do Paraíba
2514909,São Mamede,PB,Município de apoio ao turismo,
2515005,São Miguel de Taipu,PB,Município com oferta turística complementar,Vale do Paraíba
2515203,São Sebastião do Umbuzeiro,PB,Município de apoio ao turismo,Cariri
2515401,São Vicente do Seridó,PB,Município de apoio ao turismo,
2515500,Serra Branca,PB,Município de apoio ao turismo,Cariri
2515609,Serra da Raiz,PB,Município com oferta turística complementar,Brejo
2515708,Serra Grande,PB,Município de apoio ao turismo,Vale dos Dinossauros
2515807,Serra Redonda,PB,Município de apoio ao turismo,Serra da Borborema
2515906,Serraria,PB,Município com oferta turística complementar,Brejo
2515971,Sobrado,PB,Município de apoio ao turismo,
2516003,Solânea,PB,Município com oferta turística complementar,Brejo
2516102,Soledade,PB,Município com oferta turística complementar,Cariri
2516201,Sousa,PB,Município com oferta turística complementar,Vale dos Dinossauros
2516300,Sumé,PB,Município com oferta turística complementar,Cariri
2516409,Tacima,PB,Município de apoio ao turismo,Curimataú
2516706,Teixeira,PB,Município de apoio ao turismo,SERRA DO TEXEIRA
2516755,Tenório,PB,Município de apoio ao turismo,Fórum Regional de Turismo Sustentável do Seridó
2516805,Triunfo,PB,Município de apoio ao turismo,
2516904,Uiraúna,PB,Município de apoio ao turismo,
2517001,Umbuzeiro,PB,Município de apoio ao turismo,Vale do Paraíba
2517100,Várzea,PB,Município de apoio ao turismo,Vale dos Sertões
2600203,Afrânio,PE,Município com oferta turística complementar,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO
2600302,Agrestina,PE,Município com oferta turística complementar,ENCANTOS DO AGRESTE
2600401,Água Preta,PE,Município de apoio ao turismo,CAMINHOS DA MATA SUL
2600708,Aliança,PE,Município com oferta turística complementar,ENGENHOS E MARACATUS
2600807,Altinho,PE,Município com oferta turística complementar,ENCANTOS DO AGRESTE
2601102,Araripina,PE,Município com oferta turística complementar,CHAPADA DO ARARIPE GONZAGUEANO
2601201,Arcoverde,PE,Município turístico,FÉ E ARTE
2601706,Belo Jardim,PE,Município com oferta turística complementar,FÉ E ARTE
2601805,Betânia,PE,Município de apoio ao turismo,CANGAÇO E LAMPIÃO
2601904,Bezerros,PE,Município turístico,SERRAS E ARTES DE PERNAMBUCO
2602100,Bom Conselho,PE,Município de apoio ao turismo,FÉ E ARTE
2602308,Bonito,PE,Município com oferta turística complementar,SERRAS E ARTES DE PERNAMBUCO
2602506,Brejinho,PE,Município de apoio ao turismo,TERRITÓRIO DA POESIA E DA CANTORIA
2602605,Brejo da Madre de Deus,PE,Município de apoio ao turismo,SERRAS E ARTES DE PERNAMBUCO
2602803,Buíque,PE,Município com oferta turística complementar,FÉ E ARTE
2602902,Cabo de Santo Agostinho,PE,Município com oferta turística complementar,Rota 60 - Litoral Sul
2603454,Camaragibe,PE,Município turístico,ENGENHOS E MARACATUS
2604106,Caruaru,PE,Município turístico,SERRAS E ARTES DE PERNAMBUCO
2604502,Chã Grande,PE,Município com oferta turística complementar,SERRAS E ARTES DE PERNAMBUCO
2605004,Cupira,PE,Município com oferta turística complementar,ENCANTOS DO AGRESTE
2605152,Dormentes,PE,Município de apoio ao turismo,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO
2605301,Exu,PE,Município com oferta turística complementar,CHAPADA DO ARARIPE GONZAGUEANO
2605459,Fernando de Noronha,PE,Município turístico,HISTÓRIA E MAR
2605608,Flores,PE,Município de apoio ao turismo,CANGAÇO E LAMPIÃO
2606002,Garanhuns,PE,Município turístico,FÉ E ARTE
2606309,Granito,PE,Município de apoio ao turismo,CHAPADA DO ARARIPE GONZAGUEANO
2606408,Gravatá,PE,Município turístico,SERRAS E ARTES DE PERNAMBUCO
2606705,Ibirajuba,PE,Município de apoio ao turismo,
2606804,Igarassu,PE,Município turístico,COSTA NÁUTICA COROA DO AVIÃO
2607604,Ilha de Itamaracá,PE,Município com oferta turística complementar,COSTA NÁUTICA COROA DO AVIÃO
2607653,Itambé,PE,Município com oferta turística complementar,ENGENHOS E MARACATUS
2607703,Itapetim,PE,Município de apoio ao turismo,TERRITÓRIO DA POESIA E DA CANTORIA
2607752,Itapissuma,PE,Município turístico,COSTA NÁUTICA COROA DO AVIÃO
2607901,Jaboatão dos Guararapes,PE,Município turístico,HISTÓRIA E MAR
2608008,Jataúba,PE,Município de apoio ao turismo,
2608305,Jupi,PE,Município de apoio ao turismo,
2608701,Lagoa dos Gatos,PE,Município de apoio ao turismo,ENCANTOS DO AGRESTE
2608750,Lagoa Grande,PE,Município com oferta turística complementar,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO
2608909,Limoeiro,PE,Município com oferta turística complementar,"Encantos da Nossa Gente: Serras, Raízes Culturais, Sabores e Fé."
2609006,Macaparana,PE,Município de apoio ao turismo,ENGENHOS E MARACATUS
2609501,Nazaré da Mata,PE,Município com oferta turística complementar,ENGENHOS E MARACATUS
2609600,Olinda,PE,Município turístico,COSTA NÁUTICA COROA DO AVIÃO
2609808,Orocó,PE,Município de apoio ao turismo,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO
2610004,Palmares,PE,Município com oferta turística complementar,CAMINHOS DA MATA SUL
2610202,Panelas,PE,Município com oferta turística complementar,ENCANTOS DO AGRESTE
2610301,Paranatama,PE,Município de apoio ao turismo,FÉ E ARTE
2610509,Passira,PE,Município de apoio ao turismo,"Encantos da Nossa Gente: Serras, Raízes Culturais, Sabores e Fé."
2610608,Paudalho,PE,Município com oferta turística complementar,ENGENHOS E MARACATUS
2610707,Paulista,PE,Município turístico,COSTA NÁUTICA COROA DO AVIÃO
2610905,Pesqueira,PE,Município com oferta turística complementar,FÉ E ARTE
2611101,Petrolina,PE,Município turístico,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO
2611200,Poção,PE,Município de apoio ao turismo,
2611309,Pombos,PE,Município com oferta turística complementar,SERRAS E ARTES DE PERNAMBUCO
2611408,Primavera,PE,Município com oferta turística complementar,CAMINHOS DA MATA SUL
2611507,Quipapá,PE,Município com oferta turística complementar,CAMINHOS DA MATA SUL
2611606,Recife,PE,Município turístico,HISTÓRIA E MAR
2611705,Riacho das Almas,PE,Município de apoio ao turismo,
2612307,Saloá,PE,Município de apoio ao turismo,FÉ E ARTE
2612505,Santa Cruz do Capibaribe,PE,Município com oferta turística complementar,MODA E ECOTURISMO
2612604,Santa Maria da Boa Vista,PE,Município de apoio ao turismo,ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO
2612802,Santa Terezinha,PE,Município de apoio ao turismo,TERRITÓRIO DA POESIA E DA CANTORIA
2612901,São Benedito do Sul,PE,Município com oferta turística complementar,CAMINHOS DA MATA SUL
2613305,São Joaquim do Monte,PE,Município com oferta turística complementar,ENCANTOS DO AGRESTE
2613503,São José do Belmonte,PE,Município de apoio ao turismo,CANGAÇO E LAMPIÃO
2613602,São José do Egito,PE,Município com oferta turística complementar,TERRITÓRIO DA POESIA E DA CANTORIA
2613909,Serra Talhada,PE,Município com oferta turística complementar,CANGAÇO E LAMPIÃO
2614006,Serrita,PE,Município de apoio ao turismo,CHAPADA DO ARARIPE GONZAGUEANO
2615003,Taquaritinga do Norte,PE,Município de apoio ao turismo,MODA E ECOTURISMO
2615508,Tracunhaém,PE,Município com oferta turística complementar,ENGENHOS E MARACATUS
2615607,Trindade,PE,Município com oferta turística complementar,CHAPADA DO ARARIPE GONZAGUEANO
2615706,Triunfo,PE,Município com oferta turística complementar,CANGAÇO E LAMPIÃO
2615805,Tupanatinga,PE,Município de apoio ao turismo,FÉ E ARTE
2616407,Vitória de Santo Antão,PE,Município turístico,SERRAS E ARTES DE PERNAMBUCO
2200202,Água Branca,PI,Município com oferta turística complementar,Polo Teresina
2200509,Amarante,PI,Município com oferta turística complementar,Polo Histórico Cultural
2200905,Aroazes,PI,Município de apoio ao turismo,Polo Histórico Cultural
2201200,Barras,PI,Município de apoio ao turismo,Polo das Águas
2201507,Batalha,PI,Município de apoio ao turismo,Polo das Águas
2201572,Belém do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2201606,Beneditinos,PI,Município de apoio ao turismo,Polo Teresina
2201903,Bom Jesus,PI,Município com oferta turística complementar,Polo das Nascentes
2202083,Cajueiro da Praia,PI,Município com oferta turística complementar,Polo Costa do Delta
2202208,Campo Maior,PI,Município com oferta turística complementar,Polo Teresina
2202505,Caracol,PI,Município de apoio ao turismo,Polo Histórico Cultural
2202703,Cocal,PI,Município de apoio ao turismo,Polo Aventura e Mistério
2202778,Colônia do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2202851,Coronel José Dias,PI,Município de apoio ao turismo,Polo das Origens
2202901,Corrente,PI,Município de apoio ao turismo,Polo das Nascentes
2203107,Cristino Castro,PI,Município de apoio ao turismo,Polo das Nascentes
2203230,Currais,PI,Município de apoio ao turismo,Polo das Nascentes
2203255,Curralinhos,PI,Município de apoio ao turismo,Polo Histórico Cultural
2203354,Dirceu Arcoverde,PI,Município de apoio ao turismo,Polo das Origens
2203453,Dom Inocêncio,PI,Município de apoio ao turismo,Polo Histórico Cultural
2203909,Floriano,PI,Município com oferta turística complementar,Polo Histórico Cultural
2204006,Francinópolis,PI,Município de apoio ao turismo,Polo Histórico Cultural
2204402,Gilbués,PI,Município de apoio ao turismo,Polo das Nascentes
2204659,Ilha Grande,PI,Município com oferta turística complementar,Polo Costa do Delta
2204709,Inhuma,PI,Município com oferta turística complementar,Polo Histórico Cultural
2204808,Ipiranga do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2205201,Jaicós,PI,Município com oferta turística complementar,Polo Histórico Cultural
2205250,Jardim do Mulato,PI,Município de apoio ao turismo,Polo Histórico Cultural
2205508,José de Freitas,PI,Município com oferta turística complementar,Polo Teresina
2205516,Juazeiro do Piauí,PI,Município de apoio ao turismo,Polo Aventura e Mistério
2205581,Lagoa do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2205599,Lagoa do Sítio,PI,Município de apoio ao turismo,Polo Histórico Cultural
2205706,Luís Correia,PI,Município com oferta turística complementar,Polo Costa do Delta
2205805,Luzilândia,PI,Município de apoio ao turismo,Polo das Águas
2206407,Monsenhor Gil,PI,Município de apoio ao turismo,Polo Teresina
2207009,Oeiras,PI,Município com oferta turística complementar,Polo Histórico Cultural
2207355,Pajeú do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2207702,Parnaíba,PI,Município turístico,Polo Costa do Delta
2207801,Paulistana,PI,Município de apoio ao turismo,Polo Histórico Cultural
2208007,Picos,PI,Município com oferta turística complementar,Polo Histórico Cultural
2208106,Pimenteiras,PI,Município de apoio ao turismo,Polo Histórico Cultural
2208809,Regeneração,PI,Município com oferta turística complementar,Polo Histórico Cultural
2209153,Santa Cruz dos Milagres,PI,Município de apoio ao turismo,Polo Teresina
2209609,São Félix do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2209807,São Gonçalo do Piauí,PI,Município de apoio ao turismo,Polo Histórico Cultural
2210003,São João do Piauí,PI,Município com oferta turística complementar,Polo das Origens
2210052,São José do Divino,PI,Município de apoio ao turismo,Polo Aventura e Mistério
2210508,São Pedro do Piauí,PI,Município de apoio ao turismo,Polo Teresina
2211001,Teresina,PI,Município turístico,Polo Teresina
2211308,Valença do Piauí,PI,Município com oferta turística complementar,Polo Histórico Cultural
2211506,Vera Mendes,PI,Município de apoio ao turismo,Polo Histórico Cultural
4100400,Almirante Tamandaré,PR,Município com oferta turística complementar,Rotas do Pinhão
4100459,Altamira do Paraná,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4100509,Altônia,PR,Município com oferta turística complementar,Caminho das Águas
4100707,Alto Piquiri,PR,Município de apoio ao turismo,Caminho das Águas
4100806,Alvorada do Sul,PR,Município com oferta turística complementar,Norte do Paraná
4101002,Ampére,PR,Município com oferta turística complementar,Vales do Iguaçu
4101101,Andirá,PR,Município com oferta turística complementar,Norte Pioneiro
4101150,Ângulo,PR,Município de apoio ao turismo,Encantos dos Ipês
4101200,Antonina,PR,Município turístico,Litoral do Paraná
4101408,Apucarana,PR,Município turístico,Vale do Ivaí
4101606,Arapoti,PR,Município com oferta turística complementar,Campos Gerais
4101655,Arapuã,PR,Município de apoio ao turismo,Vale do Ivaí
4101705,Araruna,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4101804,Araucária,PR,Município turístico,Rotas do Pinhão
4102000,Assis Chateaubriand,PR,Município turístico,Riquezas do Oeste
4102307,Balsa Nova,PR,Município turístico,Rotas do Pinhão
4102406,Bandeirantes,PR,Município com oferta turística complementar,Norte Pioneiro
4102505,Barbosa Ferraz,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4102901,Bituruna,PR,Município com oferta turística complementar,Sul do Paraná
4103057,Boa Vista da Aparecida,PR,Município com oferta turística complementar,Riquezas do Oeste
4103156,Bom Jesus do Sul,PR,Município de apoio ao turismo,Vales do Iguaçu
4103370,Brasilândia do Sul,PR,Município de apoio ao turismo,Caminho das Águas
4103479,Cafezal do Sul,PR,Município com oferta turística complementar,Caminho das Águas
4103503,Califórnia,PR,Município com oferta turística complementar,Vale do Ivaí
4103602,Cambará,PR,Município com oferta turística complementar,Norte Pioneiro
4103909,Campina da Lagoa,PR,Município de apoio ao turismo,"Ecoaventuras, Histórias e Sabores"
4104006,Campina Grande do Sul,PR,Município com oferta turística complementar,Rotas do Pinhão
4104105,Campo do Tenente,PR,Município com oferta turística complementar,Rotas do Pinhão
4104204,Campo Largo,PR,Município turístico,Rotas do Pinhão
4104253,Campo Magro,PR,Município turístico,Rotas do Pinhão
4104501,Capanema,PR,Município com oferta turística complementar,Vales do Iguaçu
4104600,Capitão Leônidas Marques,PR,Município turístico,Riquezas do Oeste
4104709,Carlópolis,PR,Município com oferta turística complementar,Norte Pioneiro
4104907,Castro,PR,Município turístico,Campos Gerais
4105201,Cerro Azul,PR,Município de apoio ao turismo,Rotas do Pinhão
4105300,Céu Azul,PR,Município com oferta turística complementar,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4105409,Chopinzinho,PR,Município turístico,Vales do Iguaçu
4105508,Cianorte,PR,Município turístico,Cinturão Verde
4105805,Colombo,PR,Município turístico,Rotas do Pinhão
4106209,Contenda,PR,Município com oferta turística complementar,Rotas do Pinhão
4106407,Cornélio Procópio,PR,Município turístico,Norte Pioneiro
4106571,Cruzeiro do Iguaçu,PR,Município com oferta turística complementar,Vales do Iguaçu
4106605,Cruzeiro do Oeste,PR,Município com oferta turística complementar,Caminho das Águas
4106902,Curitiba,PR,Município turístico,Rotas do Pinhão
4107207,Dois Vizinhos,PR,Município turístico,Vales do Iguaçu
4107538,Entre Rios do Oeste,PR,Município com oferta turística complementar,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4107520,Esperança Nova,PR,Município com oferta turística complementar,Caminho das Águas
4107603,Faxinal,PR,Município com oferta turística complementar,Vale do Ivaí
4107652,Fazenda Rio Grande,PR,Município com oferta turística complementar,Rotas do Pinhão
4108304,Foz do Iguaçu,PR,Município turístico,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4108452,Foz do Jordão,PR,Município de apoio ao turismo,Vales do Iguaçu
4108403,Francisco Beltrão,PR,Município turístico,Vales do Iguaçu
4108551,Godoy Moreira,PR,Município de apoio ao turismo,Vale do Ivaí
4108601,Goioerê,PR,Município turístico,"Ecoaventuras, Histórias e Sabores"
4108700,Grandes Rios,PR,Município de apoio ao turismo,Vale do Ivaí
4108809,Guaíra,PR,Município com oferta turística complementar,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4108908,Guairaçá,PR,Município com oferta turística complementar,Águas do Arenito Caiuá
4108957,Guamiranga,PR,Município de apoio ao turismo,Terra dos Pinheirais
4109203,Guaraci,PR,Município de apoio ao turismo,Norte do Paraná
4109302,Guaraniaçu,PR,Município de apoio ao turismo,Riquezas do Oeste
4109401,Guarapuava,PR,Município turístico,Terra dos Pinheirais
4109609,Guaratuba,PR,Município turístico,Litoral do Paraná
4109658,Honório Serpa,PR,Município de apoio ao turismo,Vales do Iguaçu
4109807,Ibiporã,PR,Município turístico,Norte do Paraná
4110052,Iguatu,PR,Município de apoio ao turismo,Riquezas do Oeste
4110607,Iporã,PR,Município com oferta turística complementar,Caminho das Águas
4110706,Irati,PR,Município turístico,Terra dos Pinheirais
4110805,Iretama,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4110904,Itaguajé,PR,Município com oferta turística complementar,Encantos dos Ipês
4111001,Itambaracá,PR,Município de apoio ao turismo,Norte Pioneiro
4111308,Itaúna do Sul,PR,Município com oferta turística complementar,Encontro das Águas e Biomas
4111506,Ivaiporã,PR,Município turístico,Vale do Ivaí
4111605,Ivatuba,PR,Município de apoio ao turismo,Encantos dos Ipês
4111704,Jaboti,PR,Município de apoio ao turismo,Norte Pioneiro
4111803,Jacarezinho,PR,Município turístico,Norte Pioneiro
4111902,Jaguapitã,PR,Município com oferta turística complementar,Norte do Paraná
4112306,Japira,PR,Município de apoio ao turismo,Norte Pioneiro
4112405,Japurá,PR,Município com oferta turística complementar,Cinturão Verde
4112504,Jardim Alegre,PR,Município com oferta turística complementar,Vale do Ivaí
4112603,Jardim Olinda,PR,Município com oferta turística complementar,Encantos dos Ipês
4112959,Juranda,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4113007,Jussara,PR,Município com oferta turística complementar,Cinturão Verde
4113205,Lapa,PR,Município com oferta turística complementar,Rotas do Pinhão
4113601,Lobato,PR,Município de apoio ao turismo,Encantos dos Ipês
4113700,Londrina,PR,Município turístico,Norte do Paraná
4114005,Mamborê,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4114104,Mandaguaçu,PR,Município com oferta turística complementar,Encantos dos Ipês
4114203,Mandaguari,PR,Município turístico,Encantos dos Ipês
4114302,Mandirituba,PR,Município com oferta turística complementar,Rotas do Pinhão
4114609,Marechal Cândido Rondon,PR,Município turístico,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4114708,Maria Helena,PR,Município de apoio ao turismo,Caminho das Águas
4115101,Mariluz,PR,Município de apoio ao turismo,Caminho das Águas
4115358,Maripá,PR,Município com oferta turística complementar,Riquezas do Oeste
4115606,Matelândia,PR,Município com oferta turística complementar,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4115804,Medianeira,PR,Município turístico,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4116000,Miraselva,PR,Município com oferta turística complementar,Norte do Paraná
4116059,Missal,PR,Município com oferta turística complementar,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4116109,Moreira Sales,PR,Município com oferta turística complementar,"Ecoaventuras, Histórias e Sabores"
4116208,Morretes,PR,Município turístico,Litoral do Paraná
4117008,Nova Fátima,PR,Município de apoio ao turismo,Norte do Paraná
4117206,Nova Olímpia,PR,Município com oferta turística complementar,Caminho das Águas
4117255,Nova Prata do Iguaçu,PR,Município com oferta turística complementar,Vales do Iguaçu
4117701,Palmeira,PR,Município turístico,Campos Gerais
4117800,Palmital,PR,Município de apoio ao turismo,"Entre Matas, Morros e Rios"
4118451,Pato Bragado,PR,Município com oferta turística complementar,Cataratas do Iguaçu e Caminhos ao Lago de Itaipu
4118501,Pato Branco,PR,Município turístico,Vales do Iguaçu
4119103,Piên,PR,Município de apoio ao turismo,Rotas do Pinhão
4119152,Pinhais,PR,Município turístico,Rotas do Pinhão
4119202,Pinhalão,PR,Município de apoio ao turismo,Norte Pioneiro
4119400,Piraí do Sul,PR,Município com oferta turística complementar,Campos Gerais
4119509,Piraquara,PR,Município turístico,Rotas do Pinhão
4119806,Planalto,PR,Município com oferta turística complementar,Vales do Iguaçu
4119905,Ponta Grossa,PR,Município turístico,Campos Gerais
4120002,Porecatu,PR,Município com oferta turística complementar,Norte do Paraná
4120507,Primeiro de Maio,PR,Município de apoio ao turismo,Norte do Paraná
4120606,Prudentópolis,PR,Município com oferta turística complementar,Terra dos Pinheirais
4121208,Quitandinha,PR,Município com oferta turística complementar,Rotas do Pinhão
4121406,Realeza,PR,Município turístico,Vales do Iguaçu
4121604,Renascença,PR,Município de apoio ao turismo,Vales do Iguaçu
4121703,Reserva,PR,Município de apoio ao turismo,Campos Gerais
4121752,Reserva do Iguaçu,PR,Município de apoio ao turismo,Vales do Iguaçu
4121802,Ribeirão Claro,PR,Município com oferta turística complementar,Norte Pioneiro
4122206,Rio Branco do Sul,PR,Município com oferta turística complementar,Rotas do Pinhão
4122305,Rio Negro,PR,Município com oferta turística complementar,Rotas do Pinhão
4122503,Roncador,PR,Município com oferta turística complementar,"Entre Matas, Morros e Rios"
4122602,Rondon,PR,Município com oferta turística complementar,Cinturão Verde
4122800,Salgado Filho,PR,Município de apoio ao turismo,Vales do Iguaçu
4123006,Salto do Lontra,PR,Município de apoio ao turismo,Vales do Iguaçu
4123402,Santa Fé,PR,Município com oferta turística complementar,Encantos dos Ipês
4123709,Santa Isabel do Ivaí,PR,Município com oferta turística complementar,Encontro das Águas e Biomas
4123808,Santa Izabel do Oeste,PR,Município com oferta turística complementar,Vales do Iguaçu
